player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,win_rate,peak_elo,current_elo,wr_Clay,wr_Grass,wr_Hard,wr_Unknown
Jannik Sinner,301,237,64,4.714285714285714,7,1.0,1.0,13,0.7874,2074.3076603560776,2074.3076603560776,0.7213,0.7241,0.8152,
Novak Djokovic,224,193,31,5.866071428571429,6,0.9,1.0,-1,0.8616,2054.170123966877,1978.1160162006495,0.8133,0.9286,0.876,
Carlos Alcaraz,263,208,55,5.167300380228137,5,0.6,0.4,0,0.7909,1997.9289289887574,1928.5549284302515,0.8247,0.8889,0.7482,
Alexander Zverev,287,213,74,4.334494773519164,11,0.9,1.0,-1,0.7422,1895.49462529874,1875.2297737193653,0.7708,0.7143,0.7294,
Taylor Fritz,277,187,90,5.111913357400722,6,0.6,0.6,1,0.6751,1829.6238484851604,1824.6898187645686,0.625,0.697,0.6862,
Daniil Medvedev,292,221,71,4.811643835616438,3,0.6,0.4,-1,0.7568,1924.0810275715,1821.8320139298617,0.6905,0.7368,0.7736,
Grigor Dimitrov,218,138,80,6.3577981651376145,11,0.7,0.6,0,0.633,1865.4434468800616,1801.1063174705866,0.6078,0.6111,0.6443,
Jack Draper,130,79,51,8.4,7,0.9,1.0,-1,0.6077,1780.0918468126142,1780.0918468126142,0.45,0.6818,0.625,
Alex De Minaur,266,168,98,5.443609022556391,8,0.4,0.0,-1,0.6316,1842.6716800219504,1779.340304858187,0.5714,0.7073,0.6307,
Tommy Paul,246,150,96,5.703252032520325,8,0.7,0.8,-1,0.6098,1790.457024823865,1764.9199305430736,0.4884,0.6857,0.625,
Sebastian Korda,199,123,76,6.562814070351759,12,0.8,0.6,-1,0.6181,1789.8744648933002,1759.4793660924327,0.5263,0.64,0.6397,
Nick Kyrgios,68,47,21,8.25,0,0.7,0.6,-1,0.6912,1779.8734522983857,1757.9362904300176,0.75,0.7143,0.6744,
Hubert Hurkacz,249,163,86,5.7028112449799195,0,0.6,0.4,-1,0.6546,1807.3767918057022,1754.585764998216,0.6304,0.6774,0.657,
Holger Rune,223,139,84,6.00896860986547,11,0.8,0.8,-1,0.6233,1827.5167249244075,1746.1175683968233,0.6267,0.5882,0.626,
Rafael Nadal,102,77,25,9.009803921568627,0,0.6,0.6,-1,0.7549,1884.6991018672682,1738.2104663047678,0.78,0.8333,0.7174,
Stefanos Tsitsipas,301,212,89,4.631229235880399,11,0.7,0.8,-1,0.7043,1832.3158634284712,1722.2667450659285,0.798,0.5833,0.6685,
Matteo Berrettini,167,118,49,7.479041916167665,2,0.5,0.6,1,0.7066,1764.0700985288772,1720.5595668213891,0.814,0.8286,0.6067,
Karen Khachanov,232,143,89,5.853448275862069,14,0.9,0.8,-1,0.6164,1761.1727444625635,1717.4483553333994,0.6,0.5556,0.6289,
Lorenzo Musetti,237,129,108,5.810126582278481,1,0.5,0.6,-1,0.5443,1750.5406556380153,1708.754793051314,0.6136,0.6429,0.4711,
Ben Shelton,123,70,53,6.536585365853658,2,0.7,0.6,-1,0.5691,1732.384146867823,1701.319395549327,0.4762,0.4615,0.6067,
Tomas Machac,89,49,40,11.44943820224719,10,0.7,0.6,-1,0.5506,1708.8840512110912,1697.3700428771187,0.6,0.25,0.5538,
Jiri Lehecka,143,78,65,7.3426573426573425,9,0.6,0.4,0,0.5455,1720.3209532319443,1685.075422688375,0.5161,0.5,0.5588,
Andrey Rublev,300,205,95,4.693333333333333,10,0.4,0.2,-1,0.6833,1832.7924137438636,1681.5697115084129,0.7067,0.6818,0.6749,
Frances Tiafoe,236,140,96,6.016949152542373,6,0.4,0.4,-1,0.5932,1738.2450282071825,1681.495624889395,0.5455,0.6071,0.6037,
Jan Lennard Struff,168,86,82,8.31547619047619,5,0.5,0.6,-1,0.5119,1721.4886812814,1680.4327919549705,0.6429,0.5417,0.4205,
Arthur Fils,109,63,46,6.91743119266055,2,0.5,0.4,0,0.578,1704.9230423559932,1680.1497795086984,0.5758,0.5455,0.5846,
Felix Auger Aliassime,249,153,96,5.534136546184739,5,0.5,0.4,-1,0.6145,1806.5747957692374,1679.2206711316226,0.5763,0.5833,0.6325,
Gael Monfils,132,73,59,8.75,6,0.6,0.8,-1,0.553,1688.2735689412243,1676.005572035778,0.3333,0.5455,0.6,
Alexei Popyrin,163,79,84,8.349693251533742,5,0.5,0.6,0,0.4847,1680.0433197365555,1662.0662780733899,0.4872,0.2941,0.514,
Ugo Humbert,190,100,90,7.015789473684211,9,0.7,1.0,-1,0.5263,1762.7558983657827,1658.8057422482677,0.2812,0.5429,0.5854,
Casper Ruud,286,197,89,4.916083916083916,8,0.3,0.4,-1,0.6888,1846.4010767250438,1657.3988852313519,0.7891,0.4545,0.619,
Denis Shapovalov,189,104,85,6.814814814814815,5,0.8,1.0,-1,0.5503,1658.4241214419085,1655.454317200126,0.5,0.5862,0.5574,
Tallon Griekspoor,179,92,87,7.5083798882681565,4,0.5,0.4,-1,0.514,1684.5129372821973,1649.0160669216466,0.45,0.6154,0.5133,
Flavio Cobolli,79,41,38,9.670886075949367,6,0.6,0.6,-1,0.519,1656.8612676067416,1647.1113032231403,0.5,0.4286,0.5455,
Jordan Thompson,173,87,86,7.820809248554913,4,0.6,0.6,-1,0.5029,1676.9279508741722,1643.5831664975578,0.2609,0.5897,0.5225,
Jakub Mensik,49,28,21,9.122448979591837,2,0.6,0.4,-1,0.5714,1660.0874120217622,1637.0821237000491,0.6,0.3333,0.6061,
Roberto Bautista Agut,200,112,88,6.835,7,0.7,0.8,-1,0.56,1685.0614145227182,1636.038862598505,0.5111,0.6452,0.5565,
Francisco Cerundolo,188,101,87,6.8563829787234045,5,0.5,0.6,1,0.5372,1693.3479122529504,1629.4333715152882,0.602,0.4667,0.4667,
Brandon Nakashima,171,93,78,7.105263157894737,4,0.4,0.2,-1,0.5439,1678.0269742318353,1624.2272875892913,0.4783,0.5385,0.5574,
Pablo Carreno Busta,139,84,55,6.899280575539568,2,0.6,0.4,-1,0.6043,1689.77106103551,1615.969677471166,0.6512,0.4,0.6047,
David Goffin,140,68,72,9.0,7,0.8,0.8,0,0.4857,1612.1383192808207,1612.1383192808207,0.5238,0.4615,0.4706,
Matteo Arnaldi,92,48,44,8.25,3,0.4,0.4,-1,0.5217,1656.6869753781032,1611.6242702776715,0.5455,0.25,0.5273,
Kei Nishikori,65,37,28,9.246153846153845,5,0.6,0.6,-1,0.5692,1626.8499378445752,1611.5150792564402,0.6,0.4,0.5778,
Marcos Giron,195,92,103,7.0717948717948715,10,0.7,0.6,-1,0.4718,1607.3444337476567,1607.3444337476567,0.3846,0.5333,0.4841,
Cameron Norrie,254,158,96,5.496062992125984,6,0.6,0.8,-1,0.622,1778.0016123215908,1603.4250976727362,0.6711,0.6296,0.596,
Thanasi Kokkinakis,102,49,53,11.970588235294118,1,0.6,0.6,0,0.4804,1603.2284796949239,1603.2284796949239,0.4375,0.5,0.4878,
Alex Michelsen,79,41,38,6.8354430379746836,3,0.7,0.8,-1,0.519,1629.0424467518021,1602.878302714845,0.3333,0.5625,0.537,
Tomas Martin Etcheverry,137,65,72,7.9489051094890515,6,0.5,0.4,-1,0.4745,1622.3161055563771,1601.3251106923267,0.5479,0.25,0.4107,
Giovanni Mpetshi Perricard,34,19,15,9.558823529411764,8,0.6,1.0,-1,0.5588,1609.951032793134,1595.0246054701415,0.7143,0.5,0.5263,
Yoshihito Nishioka,149,69,80,8.979865771812081,6,0.5,0.6,-1,0.4631,1619.5023696221783,1592.7640607469093,0.4839,0.3636,0.4673,
Milos Raonic,33,18,15,16.606060606060606,0,0.6,0.6,-1,0.5455,1596.489612809744,1589.5157787347719,0.0,0.5556,0.5652,
Yannick Hanfmann,122,59,63,9.19672131147541,5,0.8,1.0,-1,0.4836,1612.2237598957665,1589.4965544905099,0.5507,0.4,0.3947,
Alex Molcan,95,50,45,10.821052631578947,1,0.5,0.6,-1,0.5263,1622.6058164226083,1588.493531721735,0.6327,0.4286,0.4103,
Emil Ruusuvuori,190,100,90,6.9526315789473685,4,0.5,0.6,0,0.5263,1660.5271694313162,1587.7645926480618,0.3889,0.4783,0.5725,
Jenson Brooksby,76,45,31,7.315789473684211,6,0.5,0.8,0,0.5921,1663.4313415304105,1586.8112975217543,0.2857,0.5833,0.6316,
Marin Cilic,128,73,55,7.8046875,3,0.6,0.2,-1,0.5703,1701.1099020446873,1584.663313582593,0.5385,0.8,0.5402,
Roman Safiullin,104,49,55,10.923076923076923,2,0.6,0.6,-1,0.4712,1641.6085212781468,1583.8331090373777,0.4286,0.5385,0.4714,
Alejandro Davidovich Fokina,197,99,98,6.8578680203045685,6,0.4,0.4,-1,0.5025,1660.7676508082652,1581.1861349896642,0.5692,0.4,0.4786,
Bu Yunchaokete,18,10,8,12.222222222222221,2,0.7,0.6,0,0.5556,1579.3594302584197,1579.3594302584197,0.0,,0.5882,
Juncheng Shang,62,29,33,12.629032258064516,2,0.3,0.0,-1,0.4677,1643.3289785243644,1576.6958465673672,0.1667,0.6,0.4902,
Marcelo Arevalo,10,8,2,33.0,1,0.8888888888888888,1.0,-1,0.8,1576.1695625362297,1576.1695625362297,0.6667,,0.8,1.0
Miomir Kecmanovic,216,104,112,6.601851851851852,7,0.5,0.4,-1,0.4815,1623.8414527149612,1575.8489811433408,0.5077,0.4091,0.4806,
Alejandro Tabilo,107,55,52,9.644859813084112,7,0.4,0.6,-1,0.514,1670.1097374951273,1572.220593410153,0.5455,0.5714,0.4694,
Roger Federer,14,9,5,9.428571428571429,10,0.8,0.8,-1,0.6429,1568.4397641577177,1568.4397641577177,0.6,0.7143,0.5,
Zhizhen Zhang,101,49,52,8.386138613861386,3,0.4,0.0,-1,0.4851,1628.1084199557092,1566.6513431751064,0.5833,0.4286,0.4314,
Marton Fucsovics,160,77,83,8.56875,3,0.2,0.2,-1,0.4812,1643.5847864414793,1565.846419937369,0.4865,0.5714,0.4608,
Roberto Carballes Baena,151,66,85,8.947019867549669,3,0.5,0.4,-1,0.4371,1575.9429166607083,1564.263927822941,0.5,0.2727,0.3704,
Nuno Borges,89,39,50,10.820224719101123,2,0.4,0.4,-1,0.4382,1586.4897205281825,1562.7186444565596,0.5161,0.0,0.4423,
Botic Van De Zandschulp,185,95,90,7.5027027027027025,2,0.4,0.6,0,0.5135,1666.2466412582387,1558.9872498391785,0.5238,0.4737,0.5161,
Darian King,11,9,2,30.0,1,0.8,0.6,1,0.8182,1567.2147480912367,1558.8813970160315,,,0.7778,1.0
Mikael Ymer,107,53,54,8.439252336448599,7,0.5,0.8,-1,0.4953,1599.1224589183155,1558.427098766661,0.4286,0.4615,0.5205,
Nicolas Jarry,120,64,56,8.791666666666666,5,0.3,0.4,-1,0.5333,1682.213178864364,1557.545732209683,0.5862,0.5,0.4815,
Dominik Koepfer,108,48,60,9.787037037037036,0,0.4,0.4,-1,0.4444,1572.6339132504665,1556.4030047414963,0.4375,0.3077,0.4762,
Reilly Opelka,95,49,46,7.526315789473684,3,0.4,0.4,-1,0.5158,1647.183663706201,1555.0787702431214,0.5714,0.4,0.5156,
Sebastian Baez,179,91,88,7.016759776536313,1,0.2,0.0,-1,0.5084,1669.720725377984,1549.2345541202947,0.6476,0.3,0.3125,
Michael Mmoh,42,20,22,15.19047619047619,2,0.6,0.6,0,0.4762,1566.3805841503931,1548.9556166196676,0.375,0.5,0.5,
Dusan Lajovic,163,70,93,8.214723926380367,1,0.4,0.2,-1,0.4294,1611.4826038553144,1547.166613799863,0.4875,0.25,0.3867,
Learner Tien,12,6,6,18.083333333333332,4,0.6,0.6,-1,0.5,1545.8865014829278,1545.8865014829278,,,0.5,
Cristian Garin,139,70,69,9.16546762589928,1,0.4,0.2,0,0.5036,1610.9676721328751,1545.2810327357895,0.557,0.5833,0.3958,
Mohamed Safwat,11,7,4,35.45454545454545,1,0.7,0.8,-1,0.6364,1543.3968361028003,1543.3968361028003,0.8333,,0.3333,0.5
Lorenzo Sonego,217,106,111,6.460829493087558,5,0.3,0.4,-1,0.4885,1615.7687117716118,1543.3811218705869,0.5161,0.5333,0.464,
Tim Van Rijthoven,20,11,9,16.25,0,0.3,0.4,-1,0.55,1608.3415370901712,1541.7009818807362,,0.7273,0.3333,
Hamad Medjedovic,39,21,18,18.974358974358974,4,0.6,0.8,-1,0.5385,1589.3362178534703,1540.7234313354281,0.3889,0.3333,0.7222,
Timofey Skatov,16,8,8,33.3125,0,0.6,0.6,-1,0.5,1559.2976991854673,1540.6673869255471,0.75,,0.25,
Alexander Bublik,227,117,110,6.237885462555066,3,0.2,0.2,-1,0.5154,1691.9391085207874,1540.4641847329863,0.381,0.6591,0.5106,
Borna Gojo,38,19,19,21.473684210526315,0,0.4,0.4,0,0.5,1572.2687358865103,1539.9721296491878,0.3333,0.0,0.5455,
Dominic Stricker,49,24,25,15.306122448979592,4,0.4,0.6,0,0.4898,1592.4602459672699,1539.668721648589,0.4,0.5,0.5161,
John Isner,101,55,46,9.633663366336634,4,0.5,0.4,-1,0.5446,1659.4122675329882,1539.1139109705423,0.6,0.5833,0.5217,
Quentin Halys,70,29,41,14.17142857142857,6,0.5,0.4,0,0.4143,1559.8329768690678,1537.6939479195246,0.5714,0.5455,0.3333,
Zizou Bergs,58,22,36,16.362068965517242,7,0.6,0.6,-1,0.3793,1537.280659754199,1537.280659754199,0.375,0.25,0.3947,
Stan Wawrinka,106,48,58,9.90566037735849,6,0.5,0.6,-1,0.4528,1630.4504340886613,1536.0596707252037,0.4412,0.5,0.4531,
Fabian Marozsan,72,34,38,9.666666666666666,4,0.4,0.4,0,0.4722,1630.0732174277562,1534.8730034258613,0.4737,0.1667,0.5106,
Moez Echargui,4,3,1,37.5,0,1.0,1.0,-1,0.75,1534.738708755077,1534.738708755077,0.0,,1.0,1.0
Rinky Hijikata,64,28,36,12.171875,3,0.6,0.6,-1,0.4375,1552.5116189672262,1534.272539693163,0.1667,0.5,0.4545,
Kamil Majchrzak,46,23,23,15.543478260869565,0,0.6,0.6,-1,0.5,1538.5585914542246,1532.5836903673846,0.4,0.3333,0.5455,
Martin Damm,3,2,1,10.0,2,0.0,0.0,-1,0.6667,1532.4254471440292,1532.4254471440292,,,0.6667,
Thiago Seyboth Wild,65,26,39,12.707692307692307,4,0.4,0.4,-1,0.4,1538.4026936756325,1532.3916456121917,0.4054,0.5,0.375,
Borna Coric,114,60,54,8.807017543859649,2,0.4,0.4,-1,0.5263,1671.6018643185494,1531.7957399756,0.4828,0.2,0.5625,
Alexander Shevchenko,86,38,48,9.069767441860465,3,0.5,0.6,-1,0.4419,1574.5318211523484,1531.1954526162378,0.4286,0.25,0.463,
Antoine Bellier,7,4,3,21.428571428571427,0,0.6666666666666666,0.6,-1,0.5714,1539.6952993060595,1530.0444573475559,,0.75,0.3333,
Pablo Llamas Ruiz,8,4,4,21.375,3,0.5714285714285714,0.6,-1,0.5,1535.0464484396582,1529.6675381173202,0.5,,0.5,
Aleksandar Vukic,92,41,51,10.521739130434783,8,0.6,0.8,-1,0.4457,1567.4732150505206,1529.0604766706106,0.3333,0.5556,0.4355,
Zsombor Piros,12,8,4,37.583333333333336,1,0.6,0.6,2,0.6667,1542.5566840623906,1528.7888661910788,0.75,,0.625,
Gabriel Diallo,26,11,15,22.23076923076923,0,0.6,0.8,-1,0.4231,1535.754014199191,1527.7563500629376,0.0,0.0,0.4783,
Arthur Rinderknech,156,74,82,8.544871794871796,6,0.5,0.6,0,0.4744,1585.3348059308378,1526.8186258240378,0.475,0.3684,0.4948,
Daniel Vallejo,4,3,1,22.5,1,1.0,1.0,-1,0.75,1535.5587132342207,1524.4000793326124,0.5,,,1.0
Billy Harris,15,8,7,13.133333333333333,1,0.5,0.4,-1,0.5333,1555.0897319676164,1524.275944002837,,0.6,0.4,
Gijs Brouwer,27,13,14,18.962962962962962,3,0.4,0.4,-1,0.4815,1575.5943130864757,1524.2049015239595,0.5556,0.375,0.5,
Jerome Kym,3,2,1,42.666666666666664,0,0.0,0.0,-1,0.6667,1524.1723629473345,1524.1723629473345,,,0.6667,
Nam Hoang Ly,4,4,0,22.5,1,1.0,1.0,4,1.0,1534.757199104424,1523.5999923740492,,,1.0,1.0
Yuttana Charoenphon,3,2,1,30.0,1,0.3333333333333333,0.3333333333333333,-1,0.6667,1523.5694842377552,1523.5694842377552,,,1.0,0.5
Andy Murray,127,63,64,9.346456692913385,4,0.4,0.2,-1,0.4961,1651.4099311310852,1523.5075955118978,0.25,0.5714,0.5,
Alexandre Muller,64,27,37,12.03125,2,0.5,0.6,-1,0.4219,1548.5119156255546,1523.285310007728,0.48,0.5,0.3714,
Altug Celikbilek,13,8,5,35.46153846153846,0,0.6,0.6,1,0.6154,1523.3535348272717,1523.2535928508114,0.0,0.0,0.7,1.0
Andres Andrade,3,2,1,30.0,1,0.3333333333333333,0.3333333333333333,-1,0.6667,1523.185691787672,1523.185691787672,1.0,,0.5,
Yu Hsiou Hsu,7,3,4,26.428571428571427,0,0.5,0.6,-1,0.4286,1528.6500958970953,1522.3412636992903,,,0.4286,
Beibit Zhukayev,9,4,5,26.666666666666668,3,0.5,0.6,0,0.4444,1521.8160180483517,1521.8160180483517,,,0.4444,
Ricardas Berankis,58,28,30,14.637931034482758,1,0.6,0.4,1,0.4828,1531.4434097490298,1521.3456993949874,0.2857,0.4286,0.5556,1.0
Filip Misolic,18,9,9,21.0,0,0.4,0.4,-1,0.5,1554.9386121670811,1519.9670553319693,0.5714,,0.25,
Adrian Mannarino,208,101,107,6.846153846153846,6,0.4,0.4,-1,0.4856,1708.445517563741,1518.9735119327172,0.1,0.5526,0.52,
Thiago Agustin Tirante,17,8,9,23.941176470588236,0,0.5,0.6,-1,0.4706,1527.5715066520177,1518.3253256356088,0.5,,0.3333,
Coleman Wong,14,7,7,28.857142857142858,3,0.5,0.6,-1,0.5,1534.5612935037204,1518.165899100677,,0.0,0.5385,
Aristotelis Thanos,4,2,2,52.5,0,0.6666666666666666,0.6666666666666666,0,0.5,1517.1634041163727,1517.1634041163727,1.0,,0.3333,
Alex Knaff,8,6,2,26.25,1,0.7142857142857143,0.6,1,0.75,1534.328450662193,1517.107625654315,0.5,,1.0,1.0
Ignacio Buse,4,2,2,37.5,0,0.6666666666666666,0.6666666666666666,-1,0.5,1528.114946527133,1516.9907616983578,1.0,,0.3333,
Ilya Ivashka,118,62,56,7.61864406779661,4,0.3,0.4,-1,0.5254,1649.647685649574,1516.8824433291825,0.4688,0.5,0.5606,
Andrea Vavassori,21,9,12,23.19047619047619,1,0.4,0.4,-1,0.4286,1527.901215320456,1515.5961904516232,0.4667,0.0,0.5,
Aziz Dougaz,9,5,4,43.22222222222222,1,0.625,0.4,-1,0.5556,1535.1564364034652,1515.2952210874068,0.5,,0.75,0.0
Thiago Monteiro,117,50,67,11.136752136752136,1,0.3,0.2,-1,0.4274,1572.0454875869957,1515.0661789576056,0.459,0.1667,0.4082,1.0
Aslan Karatsev,154,76,78,8.435064935064934,2,0.3,0.4,-1,0.4935,1643.371174108486,1514.8835136967202,0.4889,0.3333,0.5155,
Giles Hussey,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1514.3870082336118,1514.3870082336118,,0.5,,
Christopher Oconnell,112,46,66,10.883928571428571,4,0.4,0.4,0,0.4107,1570.8475078789722,1513.4920294270667,0.36,0.4,0.4286,
Fabio Fognini,137,62,75,9.72992700729927,2,0.3,0.2,-1,0.4526,1571.7622967249242,1512.8447830858145,0.5,0.5455,0.3906,
Aisam Ul Haq Qureshi,4,2,2,52.5,0,0.6666666666666666,0.6666666666666666,0,0.5,1512.3999911578462,1512.3999911578462,,0.5,,
Matija Pecotic,2,1,1,15.0,1,0.0,0.0,0,0.5,1512.2147830218528,1512.2147830218528,,,0.5,
N Sriram Balaji,2,1,1,45.0,0,1.0,1.0,0,0.5,1512.0269974625467,1512.0269974625467,,1.0,0.0,
Zura Tkemaladze,3,1,2,30.0,1,,,-1,0.3333,1512.0,1512.0,,,0.0,1.0
Alexandros Skorilas,2,1,1,45.0,0,0.6666666666666666,0.6666666666666666,0,0.5,1512.0,1512.0,,,0.5,
David Jorda Sanchis,2,1,1,15.0,1,0.0,0.0,0,0.5,1512.0,1512.0,0.5,,,
Harry Bourchier,2,1,1,15.0,1,0.0,0.0,0,0.5,1512.0,1512.0,,,0.5,
Hernando Jose Escurra Isnardi,2,1,1,45.0,0,0.6666666666666666,0.6666666666666666,0,0.5,1512.0,1512.0,1.0,,,0.0
Ioannis Xilas,2,1,1,45.0,0,0.3333333333333333,0.3333333333333333,0,0.5,1512.0,1512.0,,,0.5,
Juan Carlos Fuentes Vasquez,2,1,1,45.0,0,0.0,0.0,0,0.5,1512.0,1512.0,0.0,,1.0,
Justin Barki,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1512.0,1512.0,,,0.5,
Yuta Shimizu,2,1,1,45.0,0,0.3333333333333333,0.3333333333333333,0,0.5,1512.0,1512.0,,1.0,0.0,
Robert Strombachs,6,3,3,45.0,0,0.6,0.6,0,0.5,1511.936203027307,1511.936203027307,,,0.6,0.0
Pedja Krstin,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1511.8213077663822,1511.8213077663822,0.5,,,
Mats Moraing,2,1,1,15.0,1,0.0,0.0,0,0.5,1511.6964050627096,1511.6964050627096,0.5,,,
Cezar Cretu,2,2,0,15.0,1,0.6666666666666666,0.6666666666666666,2,1.0,1511.6679471053226,1511.6679471053226,,,1.0,
Christian Harrison,7,4,3,21.428571428571427,1,0.6666666666666666,0.6,-1,0.5714,1535.6000088421538,1511.6376705726354,0.0,0.5,0.75,
Alvaro Guillen Meza,2,1,1,45.0,0,0.6666666666666666,0.6666666666666666,0,0.5,1511.5432685656713,1511.5432685656713,0.5,,,
Laurynas Grigelis,2,1,1,45.0,0,0.3333333333333333,0.3333333333333333,0,0.5,1511.201328438636,1511.201328438636,,0.0,1.0,
Petr Nesterov,2,1,1,45.0,0,0.6666666666666666,0.6666666666666666,0,0.5,1511.1680135801662,1511.1680135801662,0.0,,1.0,
Conor Gannon,3,1,2,30.0,1,0.6666666666666666,0.6666666666666666,-1,0.3333,1511.143212796064,1511.143212796064,0.3333,,,
Sebastian Ofner,76,33,43,9.947368421052632,2,0.5,0.2,-1,0.4342,1578.141313680493,1511.1122648423316,0.375,0.4167,0.5,
Joao Fonseca,20,12,8,16.6,4,0.7,1.0,6,0.6,1565.4611734679563,1511.104198857243,0.4545,0.0,0.875,
Paul Jubb,7,3,4,15.857142857142858,4,0.5,0.6,-1,0.4286,1522.346874643072,1510.9103390037712,,0.4286,,
Saba Purtseladze,5,2,3,30.0,1,0.5,0.5,-1,0.4,1522.9204812856333,1510.8660906185146,,,0.25,1.0
Pavel Kotov,79,36,43,12.772151898734178,1,0.3,0.2,-1,0.4557,1591.97176323038,1510.8638836067498,0.5312,0.5,0.3953,
Hugo Gaston,89,37,52,13.50561797752809,5,0.4,0.8,-1,0.4157,1571.7906289864839,1510.7293872121286,0.4722,0.5,0.3617,
