player,matches,wins,losses,avg_rest_days,matches_28d_latest,rolling_10_winrate_latest,rolling_5_winrate_latest,streak_latest,win_rate,peak_elo,current_elo,wr_Clay,wr_Grass,wr_Hard,wr_Unknown
Ricardo Rodriguez,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Rodrigo Crespo Piedra,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,,,0.0,
Roey Tabet,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,0.0,,,
Romain Arneodo,1,1,0,30.0,0,0.3333333333333333,0.3333333333333333,1,1.0,1500.0,1500.0,1.0,,,
Ruan Roelofse,1,1,0,30.0,0,0.3333333333333333,0.3333333333333333,1,1.0,1500.0,1500.0,,,1.0,
Ryan Harrison,1,0,1,30.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1500.0,,,0.0,
Sam Riffice,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Sandro Ehrat,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,0.0,,,
Santiago Fa Rodriguez Taverna,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,0.0,,,
Sebastian Fanselow,1,0,1,30.0,0,1.0,1.0,-1,0.0,1500.0,1500.0,0.0,,,
Siddharth Vishwakarma,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,,,0.0,
Siim Troost,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,,,0.0,
Sylvestre Monnou,1,1,0,30.0,0,0.6666666666666666,0.6666666666666666,1,1.0,1500.0,1500.0,,,1.0,
Tao Mu,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Tegar Abdi Satrio Wibowo,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Thabo Ncube,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,0.0,,,
Thanapet Chanta,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,0.0,,,
Theo Papamalamis,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Thomas Fancutt,1,0,1,30.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1500.0,,,0.0,
Tom Kocevar Desman,1,1,0,30.0,0,0.0,0.0,1,1.0,1500.0,1500.0,1.0,,,
Tommy Robredo,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,0.0,,,
Trent Bryde,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,,,0.0,
Vladimir Ivanov,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Walid Ahouda,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
William Blumberg,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,0.0,,
Wojciech Marek,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Ye Cong Mo,1,0,1,30.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1500.0,,,0.0,
Yousaf Khalil,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,,,0.0,
Zhe Li,1,0,1,30.0,0,0.0,0.0,-1,0.0,1500.0,1500.0,,,0.0,
Ki Lung Ng,3,1,2,50.0,0,0.0,0.0,-1,0.3333,1500.0,1499.9851594895667,,,0.3333,
Philip Henning,6,2,4,35.0,1,0.4,0.4,-1,0.3333,1512.0,1499.9735381970345,0.0,,0.6667,
Martin Cuevas,3,1,2,30.0,1,0.0,0.0,-1,0.3333,1500.0,1499.898529556714,0.3333,,,
Omni Kumar,5,2,3,22.2,0,0.5,0.5,-1,0.4,1513.6420269130087,1499.7425531819558,,,0.4,
Roberto Marcora,3,1,2,30.0,0,0.6666666666666666,0.6666666666666666,-1,0.3333,1512.0,1499.6541958196394,,,0.3333,
Alastair Gray,3,1,2,30.0,1,0.3333333333333333,0.3333333333333333,-1,0.3333,1500.0,1499.6466131775564,,0.3333,,
Jeremy Chardy,43,21,22,10.627906976744185,0,0.4,0.2,-1,0.4884,1576.85900688937,1499.6366095907977,0.3333,0.2,0.6154,
Alan Fernando Rubio Fierros,3,1,2,30.0,1,0.3333333333333333,0.3333333333333333,-1,0.3333,1500.0,1499.626970246771,0.0,,0.5,
Jacob Fearnley,5,2,3,19.4,1,0.5,0.5,-1,0.4,1511.144911704086,1499.5782369507285,,0.3333,0.5,
Yanki Erel,3,1,2,50.0,0,0.3333333333333333,0.3333333333333333,-1,0.3333,1500.0,1499.5670628930986,0.0,,1.0,
Federico Agustin Gomez,3,1,2,30.0,1,0.3333333333333333,0.3333333333333333,-1,0.3333,1500.0,1499.5492502426039,0.0,,0.5,
Aleksandre Bakshi,4,3,1,37.5,1,0.6666666666666666,0.6666666666666666,2,0.75,1510.6749051684508,1499.491798823621,,,0.6667,1.0
Matthew Ebden,13,6,7,19.384615384615383,0,0.5,0.2,-1,0.4615,1547.5484699856354,1499.3126771389268,0.0,0.0,0.5455,
Thomas Yaka Kofi Setodji,4,3,1,22.5,1,0.6666666666666666,0.6666666666666666,2,0.75,1511.585699413623,1499.227114636138,,,0.75,
Amr Elsayed Abdou Ahmed Mohamed,7,3,4,47.142857142857146,0,0.5,0.4,-1,0.4286,1512.2514176306206,1499.218153568727,0.5,,0.0,0.5
Petros Chrysochos,5,2,3,30.0,0,0.5,0.5,-1,0.4,1512.0,1498.9992431480666,0.5,,0.0,0.5
Maks Kasnikowski,3,1,2,36.0,1,0.3333333333333333,0.3333333333333333,-1,0.3333,1511.5892606755758,1498.8687725433037,,,0.3333,
Franco Roncadelli,5,3,2,30.0,1,0.5,0.5,1,0.6,1500.0142917836072,1498.7611036730407,0.6,,,
Vladyslav Orlov,5,2,3,42.0,0,0.5,0.5,-1,0.4,1501.071644938483,1498.716922530578,,,0.25,1.0
Jason Kubler,53,26,27,11.49056603773585,2,0.3,0.2,-1,0.4906,1570.326735875883,1498.7124794268293,0.5,0.5833,0.4483,
Bor Artnak,6,2,4,45.0,1,0.4,0.4,-1,0.3333,1512.3834040508646,1498.6975698702342,0.4,,,0.0
Filip Cristian Jianu,3,2,1,30.0,1,0.6666666666666666,0.6666666666666666,1,0.6667,1500.0,1497.6085745815953,,,0.0,1.0
Christian Sigsgaard,3,1,2,50.0,0,0.0,0.0,-1,0.3333,1512.0,1497.6024622704622,,0.0,0.5,
Arthur Fery,2,0,2,45.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1497.38633749441,,0.0,,
Gonzalo Bueno,3,1,2,50.0,0,0.3333333333333333,0.3333333333333333,-1,0.3333,1512.027602002009,1497.3206107259552,0.0,,0.0,1.0
Gerardo Lopez Villasenor,5,2,3,32.0,0,0.5,0.5,-1,0.4,1524.0130170840755,1497.1254840282247,0.0,,0.5,
Gustavo Heide,8,3,5,27.875,3,0.42857142857142855,0.4,-1,0.375,1511.9656464683178,1496.754741886878,0.3333,,0.0,1.0
Mariano Navone,42,18,24,7.214285714285714,4,0.3,0.2,-1,0.4286,1595.3646732438292,1496.7473939927338,0.5769,0.0,0.2308,
Guido Andreozzi,4,1,3,37.5,0,0.3333333333333333,0.3333333333333333,-1,0.25,1507.811779592866,1496.6945687036075,0.3333,,0.0,
Marco Trungelliti,14,5,9,32.5,0,0.4,0.4,-1,0.3571,1501.8409085971869,1495.439526540058,0.5,0.0,0.2,
Titouan Droguet,4,1,3,37.5,0,0.3333333333333333,0.3333333333333333,-1,0.25,1517.6349204341798,1494.97140923361,0.0,,0.3333,
Sanjar Fayziev,3,1,2,30.0,1,0.3333333333333333,0.3333333333333333,-1,0.3333,1505.7293125131985,1494.2122786428351,,,0.3333,
Jack Sock,35,15,20,14.114285714285714,2,0.3,0.4,-1,0.4286,1536.412905908534,1494.0945858313655,0.0,0.625,0.4,
Arthur Cazaux,29,11,18,19.689655172413794,3,0.4,0.6,-1,0.3793,1524.1100037139504,1493.5748697585832,0.1667,0.3333,0.45,
Denis Yevseyev,4,1,3,37.5,0,0.3333333333333333,0.3333333333333333,-1,0.25,1503.4762096970503,1493.5729912524778,0.5,,0.0,
Henrique Rocha,6,3,3,44.833333333333336,0,0.4,0.4,0,0.5,1505.5065382223684,1493.3865991272992,0.25,,1.0,
Alibek Kachmazov,8,4,4,19.375,3,0.5714285714285714,0.8,-1,0.5,1517.9368847371334,1493.2992037357665,,,0.5,
Andres Martin,4,1,3,37.5,0,0.3333333333333333,0.3333333333333333,-1,0.25,1514.3601011727399,1493.0690082948322,,,0.25,
Dalibor Svrcina,6,2,4,27.333333333333332,0,0.4,0.4,-1,0.3333,1502.4224023419122,1491.9443322995796,,,0.3333,
Robin Haase,10,4,6,35.8,0,0.4444444444444444,0.6,-1,0.4,1512.0,1491.7369877898668,0.6667,0.0,0.3333,
Alexis Galarneau,5,2,3,38.0,1,0.25,0.25,1,0.4,1500.0,1491.7244040799683,0.0,,0.5,
Alexander Ritschard,11,4,7,31.636363636363637,0,0.4,0.4,-1,0.3636,1515.8448908924697,1491.676330759665,0.3333,0.0,0.5,
Vasek Pospisil,38,15,23,19.63157894736842,0,0.5,0.4,0,0.3947,1502.002204333015,1491.3979137649962,,0.4286,0.3871,
Antoine Hoang,4,1,3,27.75,1,0.3333333333333333,0.3333333333333333,-1,0.25,1512.0,1491.3346794223007,,0.5,0.0,
Osgar Ohoisin,6,2,4,35.0,0,0.4,0.4,-1,0.3333,1500.7990299293624,1491.0479153195163,0.5,,0.3333,0.0
Luke Saville,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1490.8970905962656,,,0.0,
Darwin Blanch,2,0,2,32.5,0,1.0,1.0,-1,0.0,1500.0,1490.4636648808294,0.0,,0.0,
Gregoire Barrere,69,28,41,14.289855072463768,0,0.4,0.2,-1,0.4058,1555.1175737561582,1490.434786766945,0.4091,0.5,0.3784,
Dane Sweeny,6,2,4,27.0,0,0.4,0.4,-1,0.3333,1511.585699413623,1490.3617134171268,,,0.3333,
Daniel Cukierman,8,4,4,41.25,0,0.42857142857142855,0.6,0,0.5,1500.0,1490.2532997810226,,,0.5,0.5
Duje Ajdukovic,16,6,10,31.8125,0,0.5,0.6,-1,0.375,1512.0,1489.9644421399153,0.3636,,0.4,
Menelaos Efstathiou,4,1,3,37.5,0,0.3333333333333333,0.3333333333333333,-1,0.25,1500.0,1489.8572694206848,0.0,,0.0,0.5
Alexandar Lazarov,6,2,4,36.666666666666664,0,0.4,0.4,-1,0.3333,1511.4103096563379,1489.8391332959072,1.0,,0.2,
Matic Kriznik,4,1,3,37.5,1,0.3333333333333333,0.3333333333333333,-1,0.25,1511.5861725846826,1489.8283707598396,1.0,,0.0,0.0
Matteo Martineau,2,0,2,45.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1489.8234140836362,,0.0,0.0,
Mattia Bellucci,15,6,9,14.533333333333333,4,0.5,0.4,-1,0.4,1504.1127139155424,1489.769606732684,0.0,0.0,0.4615,
Stefanos Sakellaridis,4,1,3,22.5,0,0.3333333333333333,0.3333333333333333,-1,0.25,1509.2698871992905,1489.758495941079,,,0.25,
Henry Searle,2,0,2,18.5,1,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1489.6980133908478,,0.0,,
Kris Van Wyk,4,1,3,22.5,1,0.3333333333333333,0.3333333333333333,-1,0.25,1500.0,1489.626775893638,,,0.5,0.0
Nicolai Budkov Kjaer,4,2,2,37.5,0,0.3333333333333333,0.3333333333333333,1,0.5,1500.0,1489.4017609207594,0.0,,1.0,
Gilles Arnaud Bailly,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1489.2786679047158,,,0.0,
Ivo Karlovic,6,2,4,23.166666666666668,0,0.4,0.4,-1,0.3333,1512.0,1489.2591427202065,,0.5,0.25,
Joao Menezes,2,0,2,45.0,0,0.0,0.0,-1,0.0,1500.0,1489.1850061795985,0.0,,0.0,
Charles Broom,2,0,2,18.5,1,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1489.0590999523813,,0.0,,
Franco Agamenone,5,3,2,18.0,3,0.75,0.75,-1,0.6,1526.7297031910896,1488.9899070472675,0.6,,,
Lukas Rosol,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1488.9650544522704,,0.0,0.0,
Adam Moundir,2,0,2,45.0,0,0.0,0.0,-1,0.0,1500.0,1488.8515388328972,0.0,,0.0,
Benjamin Balleret,2,1,1,45.0,0,0.3333333333333333,0.3333333333333333,0,0.5,1500.0,1488.8413660983917,0.5,,,
Mikael Torpegaard,4,1,3,24.25,0,0.3333333333333333,0.3333333333333333,-1,0.25,1512.0,1488.8186316628203,,0.0,0.3333,
Fitriadi M Rifqi,5,3,2,30.0,1,0.5,0.5,1,0.6,1501.200514892222,1488.814308212328,,,0.6667,0.5
Aqeel Khan,8,4,4,41.25,0,0.42857142857142855,0.4,1,0.5,1500.8001564407266,1488.7546604568827,,0.5,1.0,0.0
Nicolas Alvarez,4,1,3,22.5,1,0.3333333333333333,0.3333333333333333,-1,0.25,1500.213832083812,1488.6311707453083,0.25,,,
Karl Friberg,2,0,2,45.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1488.5614972316557,,,0.0,
Lorenzo Giustino,2,0,2,45.0,0,1.0,1.0,-1,0.0,1500.0,1488.46312211105,0.0,,0.0,
Joel Schwaerzler,2,0,2,45.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1488.4031323643844,0.0,,0.0,
Adrian Andreev,6,2,4,24.833333333333332,0,0.4,0.4,-1,0.3333,1512.0309712696073,1488.3768833498868,,,0.3333,
Martins Rocens,2,0,2,45.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1488.3424421948018,,,0.0,
Eliot Spizzirri,4,1,3,33.0,0,0.3333333333333333,0.3333333333333333,-1,0.25,1500.0,1488.2575261863312,,0.3333,0.0,
Bradley Klahn,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1488.2535595715212,,,0.0,
Sergiy Stakhovsky,6,2,4,20.333333333333332,0,0.4,0.4,-1,0.3333,1512.0,1488.1099688417587,,,0.3333,
Dominic Thiem,106,48,58,10.49056603773585,0,0.2,0.0,-1,0.4528,1596.1795318283337,1488.092912960955,0.4717,0.0,0.4694,
Murkel Alejandro Dellien Velasco,6,2,4,35.0,0,0.4,0.4,-1,0.3333,1512.0240306770474,1488.0793608145657,0.5,,0.0,
Juan Alejandro Hernandez Serrano,3,1,2,30.0,1,0.0,0.0,-1,0.3333,1500.4855719188724,1488.0738178917486,,,0.3333,
Strong Kirchheimer,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1488.043129028476,,,0.0,
Yunseong Chung,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1488.0247247103102,,0.0,0.0,
Hugo Nys,2,1,1,45.0,0,0.6666666666666666,0.6666666666666666,0,0.5,1500.0,1488.0143094285309,1.0,,0.0,
Anthony Susanto,3,0,3,30.0,1,1.0,1.0,-1,0.0,1500.0,1488.0,,,0.0,0.0
Johan Nikles,3,1,2,30.0,1,0.6666666666666666,0.6666666666666666,-1,0.3333,1500.101063145013,1488.0,0.3333,,,
Muzammil Murtaza,3,0,3,30.0,1,1.0,1.0,-1,0.0,1500.0,1488.0,0.0,0.0,,
Alec Beckley,2,0,2,45.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1488.0,0.0,,,0.0
Andrea Collarini,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1488.0,0.0,,,
John Patrick Smith,2,0,2,25.5,1,1.0,1.0,-1,0.0,1500.0,1488.0,,,0.0,
Karim Mohamed Maamoun,2,1,1,45.0,0,0.6666666666666666,0.6666666666666666,0,0.5,1500.0,1488.0,0.5,,,
Martin Antonio Vergara Del Puerto,2,0,2,45.0,0,0.0,0.0,-1,0.0,1500.0,1488.0,0.0,,,
Michael Bassem Sobhy,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1488.0,0.0,,0.0,
Nicolas Kicker,2,0,2,45.0,0,0.0,0.0,-1,0.0,1500.0,1488.0,0.0,,,
Noah Rubin,2,0,2,45.0,0,0.0,0.0,-1,0.0,1500.0,1488.0,,,0.0,
Paolo Lorenzi,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1488.0,,0.0,0.0,
Roberto Cid,2,1,1,15.0,1,0.6666666666666666,0.6666666666666666,0,0.5,1500.0,1488.0,,,0.5,
Stylianos Christodoulou,2,1,1,45.0,0,0.3333333333333333,0.3333333333333333,0,0.5,1500.0,1488.0,0.0,,1.0,
Thomaz Bellucci,2,0,2,45.0,0,1.0,1.0,-1,0.0,1500.0,1488.0,0.0,,0.0,
Khumoun Sultanov,5,2,3,42.0,1,0.25,0.25,1,0.4,1500.0,1487.687549601189,,,0.4,
Aziz Ouakaa,2,1,1,45.0,0,0.3333333333333333,0.3333333333333333,0,0.5,1500.0,1487.585699413623,1.0,,0.0,
Frederico Ferreira Silva,2,0,2,18.5,1,0.0,0.0,-1,0.0,1500.0,1487.585699413623,,,0.0,
Ilya Snitari,2,0,2,15.0,1,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1487.5714076300158,0.0,,,
Mathias Bourgue,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1487.5688536890336,0.0,,0.0,
Gian Marco Moroni,2,0,2,45.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1487.449286951364,0.0,,0.0,
Eduardo Nava,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1487.308239469037,0.0,,0.0,
Lukas Neumayer,5,3,2,28.6,1,0.5,0.5,1,0.6,1500.5791817936404,1487.2945505826867,0.6,,,
Daniel Michalski,3,0,3,10.0,2,1.0,1.0,-1,0.0,1500.0,1487.275636787394,,,0.0,
Linh Giang Trinh,2,0,2,15.0,1,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1487.200838779806,,,0.0,
Davis Rolis,2,0,2,45.0,0,0.0,0.0,-1,0.0,1500.0,1487.1928263537282,,,0.0,
George Loffhagen,2,0,2,18.5,1,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1487.1846879484922,,0.0,,
Thai Son Kwiatkowski,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1487.1586369320855,,,0.0,
Fajing Sun,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1487.1523822456963,0.0,,0.0,
Oleksandr Ovcharenko,2,0,2,45.0,0,0.0,0.0,-1,0.0,1500.0,1487.1508925164746,,,0.0,0.0
Matteo Gigante,3,1,2,21.666666666666668,1,0.6666666666666666,0.6666666666666666,-1,0.3333,1500.0,1487.0987525113712,0.3333,,,
Liam Broady,42,17,25,18.761904761904763,1,0.4,0.2,-1,0.4048,1513.3276686052418,1486.838932135712,0.3333,0.4,0.4211,
Ruben Bemelmans,2,1,1,15.0,1,0.3333333333333333,0.3333333333333333,0,0.5,1500.0,1486.7879895057818,0.5,,,
Nick Chappell,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1486.7797340193308,,,0.0,
Yuki Bhambri,6,2,4,33.833333333333336,0,0.4,0.4,-1,0.3333,1500.0,1486.6723835754444,,1.0,0.2,
Gerald Melzer,2,0,2,45.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1486.474313721323,0.0,,0.0,
Roman Andres Burruchaga,4,1,3,27.75,0,0.3333333333333333,0.3333333333333333,-1,0.25,1512.497258767098,1486.471891486966,0.25,,,
Younes Lalami Laaroussi,2,0,2,45.0,0,0.0,0.0,-1,0.0,1500.0,1486.4328701277207,0.0,,,
Stefano Napolitano,7,2,5,31.428571428571427,0,0.3333333333333333,0.4,-1,0.2857,1503.4894438283725,1486.363657651437,0.4,0.0,0.0,
Rigele Te,6,2,4,37.666666666666664,0,0.4,0.4,-1,0.3333,1511.1241717058788,1486.3125398348975,1.0,,0.0,0.0
Hong Kit Jack Wong,4,2,2,52.5,0,0.3333333333333333,0.3333333333333333,0,0.5,1512.0,1486.2380425332549,,,0.5,
Sergey Fomin,7,2,5,38.57142857142857,0,0.3333333333333333,0.4,-1,0.2857,1500.0,1486.183060117988,,,0.2857,
Nerman Fatic,4,2,2,52.5,0,0.3333333333333333,0.3333333333333333,0,0.5,1500.0,1486.0713642134713,0.3333,,1.0,
Hiroki Moriya,3,1,2,12.333333333333334,2,0.6666666666666666,0.6666666666666666,-1,0.3333,1500.0,1485.916116045409,,,0.3333,
Mili Poljicak,2,0,2,45.0,0,0.6666666666666666,0.6666666666666666,-1,0.0,1500.0,1485.8752547877682,0.0,,,
Rowland Phillips,6,2,4,35.0,1,0.4,0.4,-1,0.3333,1510.4569707360681,1485.7401263196234,0.3333,,0.0,1.0
Jie Cui,2,0,2,45.0,0,0.3333333333333333,0.3333333333333333,-1,0.0,1500.0,1485.143901779628,,,0.0,0.0
Soon Woo Kwon,104,49,55,10.740384615384615,1,0.2,0.2,0,0.4712,1596.395152304564,1485.0002905609954,0.45,0.5,0.473,
Alexander Blockx,3,0,3,40.333333333333336,0,1.0,1.0,-1,0.0,1500.0,1484.9453099997145,,,0.0,
Marius Copil,7,2,5,31.428571428571427,0,0.3333333333333333,0.2,-1,0.2857,1520.3749601501331,1484.9415101854504,0.0,,0.5,
Bjorn Fratangelo,9,3,6,36.22222222222222,0,0.375,0.2,-1,0.3333,1512.0,1484.8424123671966,0.0,,0.4286,
Leandro Riedi,11,3,8,34.72727272727273,1,0.3,0.4,-1,0.2727,1500.0,1484.5495948051484,0.25,,0.2857,
August Holmgren,8,4,4,35.0,0,0.42857142857142855,0.2,1,0.5,1523.172385326556,1483.9962308269764,0.5,,0.5,
Vilius Gaubas,7,2,5,38.57142857142857,1,0.3333333333333333,0.4,-1,0.2857,1500.414300586377,1483.6049425905287,0.0,,0.2,1.0
Jesper De Jong,10,2,8,40.7,0,0.2222222222222222,0.2,-1,0.2,1500.0,1483.484462020462,0.25,0.0,0.2,
Steve Johnson,64,29,35,13.140625,0,0.3,0.4,-1,0.4531,1558.4194659123652,1483.4461976681528,0.5,0.5455,0.4186,
Oleksii Krutykh,7,2,5,43.0,0,0.3333333333333333,0.4,-1,0.2857,1500.0,1483.2871759293562,0.0,,0.3333,
Stefan Kozlov,13,4,9,20.692307692307693,1,0.3,0.0,-1,0.3077,1520.7689317781903,1483.2741101181823,,0.0,0.3636,
Max Purcell,83,32,51,12.698795180722891,4,0.5,0.4,-1,0.3855,1536.455049546494,1483.0752386527765,0.3636,0.4444,0.3704,
Jozef Kovalik,30,13,17,23.033333333333335,2,0.4,0.2,0,0.4333,1523.5718836268343,1483.054834269457,0.5,,0.25,
Nino Serdarusic,5,1,4,36.8,0,0.25,0.25,-1,0.2,1500.0,1482.3865459684023,0.0,,0.3333,
Elliot Benchetrit,5,1,4,53.6,0,0.25,0.25,-1,0.2,1500.0,1482.322589166645,0.0,,1.0,
Yosuke Watanuki,34,15,19,23.970588235294116,2,0.3,0.4,0,0.4412,1540.2568017685787,1481.9265694766796,0.4286,0.6,0.4091,
Tung Lin Wu,11,5,6,31.545454545454547,1,0.4,0.4,1,0.4545,1500.0,1481.8258607534012,,,0.4545,
Philipp Kohlschreiber,20,8,12,17.45,0,0.3,0.2,-1,0.4,1528.936834677976,1481.2517866999035,0.4286,0.5,0.3333,
Andrey Kuznetsov,3,0,3,50.0,0,1.0,1.0,-1,0.0,1500.0,1480.5296819005914,0.0,,0.0,
Tristan Schoolkate,5,1,4,31.4,2,0.25,0.25,-1,0.2,1500.0,1480.3680097367223,,0.0,0.25,
Jason Jung,9,3,6,24.88888888888889,2,0.375,0.2,-1,0.3333,1511.412961591155,1480.2425468376389,,0.6667,0.1667,
Lukas Klein,30,11,19,23.033333333333335,2,0.4,0.6,0,0.3667,1510.4480053501618,1480.2328351765639,0.4444,0.3333,0.3333,
Pierre Hugues Herbert,36,15,21,18.194444444444443,1,0.5,0.4,-1,0.4167,1531.4622448364994,1480.227411013964,0.2222,0.0,0.52,
Rudolf Molleker,5,1,4,42.0,0,0.25,0.25,-1,0.2,1500.0,1480.0487982880122,0.25,0.0,,
